"id","answer","polarity","subjectivity","sentiment"
32,"Pay in very competitive, good work environment Place is going to crap. Slowly taking away benefits to make the company to investors",-0.05,0.525,"neu"
33,"Room for growth and advancement. Salaries are not competitive. Benefits and policy constantly changing. Corporate micro management won't allow you to run your site.",0,0.1666666667,"neu"
34,"A lot of hours. Blood sucking management. A bunch of yes men who have no skill.",0,0,"neu"
35,"It's a large, old company that's transforming. Not a new story. Needs to shake off the rust and modernize. Benefits are disappointing, culture is disappointing, organizational structure is very disapp",-0.1256493506,0.4638528139,"neu"
36,"Senior management has no clue what is going on down on the factory floor. Discrimination in a common occurrence in this company. There is a transgendered employee in the plant that gets targeted on a",-0.2277777778,0.3944444444,"neg"
37,"Good pay, benefits, upper management treats you professionally Locations that you have to work",0.2666666667,0.2333333333,"pos"
38,"extremely friendly work environment real laid back and open enviroment pay could be a bit higher",0.165,0.36,"neu"
39,"Good Products, wide coverage, lots of opportunity for business development Horrible people, bad management, poor planning and strategies",-0.3,0.6533333333,"neg"
40,"Payscale is on the low end and put the right people in the right places. Also, get rid of the dead weight.. You have alot of old timers who aren't complying with change.",0.0942857143,0.3942857143,"neu"
41,"Management does not have the power to invoke real changeHoneywell does not pay commissions timely hoping you will give upComp plans were delivered up to 6 months into the yearCommission rates went dow",0.2,0.3,"pos"
42,"Fun work environment with a family like vibe. Flexible start and end times. No longer being able to Telecommute with out prior approval.",0.2666666667,0.275,"pos"
43,"Free cookie at orientation. I'm still on a sugar high. A desire to end my life by eating leaded paint chips, shed from the dilapidated walls of my plymouth, mn micro-cube.",0.28,0.67,"pos"
44,"Some really smart people work there Not a lot of opportunity for creativity or use of your own mind. Regardless of the internal hype ... they are NOT doing cutting edge HR work here.",0.0535714286,0.6357142857,"neu"
45,"easy for under-performing employees to go unnoticed, limited opportunities for growth, few rewards for extra effort",-0.0076190476,0.3552380952,"neu"
46,"Many changes in the last few years with less and less focus on customers and employees, more encouragement to bullies and aggressive behaviors.",0.0777777778,0.2166666667,"neu"
47,"Interesting and challenging work. Open office environment is difficult and distracting",0.125,0.75,"neu"
48,"Poor quality no one cares of quality.Documents are forged a numbers are just made up on a daily basis.Hard work is penalized quality work is also penalized and you are retaliated on by The Slackers fo",-0.2,0.3,"neg"
49,"I have not encountered any cons yet.",0,0,"neu"
50,"Efficient, Employee Development, Growing in its industry. Salaries could be more competitive.",0.5,0.5,"pos"
51,"Checks are paid on time. Bureaucracy, decisions are usually made a lot more slowly as they get passed from pillar to post",-0.0166666667,0.3833333333,"neu"
52,"It was a contract position with no hope for permanent role. The co-workers (employees) often gossip. Supervisor was nowhere to be seen less alone available. Never received complete training, had to fi",0.1111111111,0.2888888889,"neu"
53,"They use a lot of outsourcing. This gives you the feeling that your job is never secure. Processes are always changing, sometimes just for the sake of change. The majority of the time there won't be a",-0.2,0.6,"neg"
54,"They are fair and encourage trying different positions at the same or higher grade level. You may get lock in to one position if you have continued high performanceNone",0.222,0.533,"pos"
55,"Too numerous to document all. Honeywell is up to its age old practice of age discrimination, AKA PIP. I encourage everyone to lawyer up.",0.05,0.35,"neu"
56,"They do interesting and meaningful work. The people are great. Not so great benefits (health insurance etc)",0.65,0.625,"vpos"
57,"Strong future and outlook for the company. Strong belief in doing more with less. Constant focus on reducing cost.",0.2,0.4152777778,"neu"
58,"Too many meetings, a lot of management stuff for indirect employees, environment too big and this make your job harder",0.1333333333,0.2,"neu"
59,"MNC working environment with lots of resourcesGenerous remuneration Products are not competitive.Need to retain talented people",0.7,0.9,"vpos"
60,"The tier system used is archaic at this point and leads to a lot of pointless meetings.Work life balance was awful, if you proved you were useful you would be forced to work 50+ a week while the usele",-0.3125,0.425,"neg"
61,"good compensation, good benefits package nothing to report of any note",0.7,0.6,"vpos"
62,"- Health Insurance. Over $275 every two weeks for family coverage with a $3000 deductible.- No company $ for dental insurance. You can buy it, but you pay the full cost.- Worst employee rating system",-0.325,0.775,"neg"
63,"Fantastic Management, they let you fail and there was plenty of room for growth. None at this location. Maybe the plant could use some renovations.",-0.05,0.6,"neu"
64,"Excellent role and exposure , excellent leadership.Focused and top performing team mates Resources and funding are not given at times for some projects.",0.8333333333,0.8333333333,"vpos"
65,"Cost of healthcare, constant request for revenue regardless of project status, direct management is powerless to upper management, if you are not working atÿleast 60 hrs a week, then you are not work",-0.1,0.4083333333,"neu"
66,"Diversity of work and ability to work on very challenging programs. Honeywell is big on outsourced workforce and promoting/hiring foreign workers instead of Americans.",0.175,0.4083333333,"neu"
67,"A macro management style company. Have open policy to let employee expose to other technology in the company. Lack of training program for new hiring.",0.0037878788,0.4431818182,"neu"
68,"1. Every employee action they have taken in the last 15years is to the benefit of stockholders at the expense of the employees.2. They look to outsource every job they can with the exception of manage",0.05,0.0833333333,"neu"
69,"Good manager. Decent starting pay out of college My department was terrible. The only 2 decent employees transferred out just before i left.",0.0047619048,0.5761904762,"neu"
70,"Outdated product and no commitment to investCompetition is beating them easilyLack of leadership, all the leader roles are open, and sketchy commitment to fillUncertainty if the business is viable and",-0.2,0.5666666667,"neg"
71,"Benefits get worse every yearIncentives for high performance are laughableHigh deductible health plan with no relief premium reliefPoor accountability",-0.12,0.57,"neu"
72,"Very high pressure and daily challenges. Leadership appropriately pushes people to move past their limits. Very global workforce is a bonus, but can lead to some challenges as it matures.",0.0916,0.2904,"neu"
73,"Work environment is bad. Loud environment working with led and gunpowder is not fun. You are very dirty by the end of your shift. Long work hours",-0.316,0.6133333333,"neg"
74,"Upper management is as crooked as a politician. They take away benefits at every opportunity and when they're shamed into doing something remotely positive, they find a way to make everyone feel worse",-0.0431818182,0.3113636364,"neu"
75,"lousy and inexperienced managerno formal trainingexpected to know everything and given little time to learnit's not just about collections you are expected to fix and be responsible for problems creat",-0.1375,0.51,"neu"
76,"Less stable than it used to be. Lot's of uncertainty with the recent announcements about spinoffs.Like any large corporation, making the numbers every quarter is key. This can be counterproductive to",0.0119047619,0.4363095238,"neu"
77,"Good work environment with many projects. have to wait 6 months before you can participate in 401k",0.6,0.55,"vpos"
78,"Friendly, understanding, committed to excellence Extensive paperwork. Have to prove what work you have done.",0.1875,0.4166666667,"neu"
79,"Good first job. Lots of room for advancement. Declining company morale. Riffs/furloughs/etc cause the talented people to leave and go to the competitors.",0.55,0.6111111111,"pos"
80,"Management does not care about the employees. mandatory furloughs with one weeks notice. Monthly lay offs. They are out of touch with reality. Benefits are very expensive and go up in cost, an down in",-0.4027777778,0.5994444444,"neg"
81,"Benefits-Wages are below industry standardsHealthcare is very expensive and covering less every year$1000 yearly penalties for not participating in Company Health Assessment program.Vacation policies",-0.4083333333,0.4883333333,"neg"
82,"Training and Career Development are positive Highly Stressful with turnover in leadership",0.1936363636,0.5427272727,"neu"
83,"Hours Flexibility and good training system. Working remotely so kind of difficult to understand the operation.",0.2666666667,0.8333333333,"pos"
84,"currently no pros that come to mind reduced benefits in recent years",0,0.325,"neu"
85,"Extremely professional environment, but fun! Organized from day one, well structured processes. I have not yet experienced any cons yet.",0.425,0.4,"pos"
86,"The work load is acceptable No remote work is allowedHealth Insurance is lousy",-0.225,0.35,"neg"
87,"Declining benefits year over year, EVERY year. No 401K match per pay period, now annual lump sum in January, if and if you are employed on Dec 15th. So RIF's will now be commonplace the beginning of D",0,0,"neu"
88,"People, structure, pto, vacation time Promotions are very difficult to obtain",-0.65,1,"vneg"
89,"Chaos, furloughs, RIFs, the WORST healthcare ever. No raises, outsourcing of key touchpoints with the customer. No work from home anymore",-0.5,1,"neg"
90,"You will be worked like a dog. No one will appreciate that you are working like a dog. You will have to guilt them in to a raise of your base pay. Which you will need to do when you find out that the",-0.8,1,"vneg"
91,"Repressive self centered focus leaves this a company to avoid New ceo every 4 months",0.1363636364,0.4545454545,"neu"
92,"Pays well, good life-balance, flexibility, depends on your manager, unlimited vacation, conscientious co-workers Not so good medical coverage, bureaucratic bottleneck so slow to get things done",0.275,0.4,"pos"
93,"Pay, benefits, location, colleagues, experience Medical is expensive, no room for promotions or growth, management, capital management",-0.25,0.35,"neg"
94,"Not at the moment, could be a lot of work and pressure but that comes with most jobs.",0.5,0.5,"pos"
95,"Great product lines, huge opportunity for both vertical and horizontal movement. Initial training process is slow, hard to know everyone you work with,",0.1216666667,0.5183333333,"neu"
96,"Great people, good 401k, advancement opportunities Security, but it's needed. Parking.",0.75,0.675,"vpos"
97,"none, no one, there is not any all, no growth, greeds, salary reductiono",0,0,"neu"
98,"Raises are a joke, benefits are nonexistent, Less than zero support from corporate. Dead end if you don't have a four year degree because any management position requires one. Most sites are treated l",0.0333333333,0.2416666667,"neu"
99,"Employees are great to work with. Many furloughs = pay cuts for all. RIF reduction in force makes unhappy employees.",0.2333333333,0.7166666667,"pos"
100,"They really take care of their employees Noting at the moment. Great place to work.",0.5,0.475,"pos"
101,"Better than not working anywhere knee jerk management. Poor decision making ability.",0.05,0.55,"neu"
102,"Left alone. Not very ready for first day. So many services can be overwhelming for the inexperienced. Nothing that can?t be overcome or easily improved.",0.2152014652,0.5216117216,"pos"
103,"You will likely be sent home for a week with no pay to ensure the VPs get their bonuses.Plans for Quarterly or Ad-hoc Reductions in Personnel will be efficiently executed to ensure the VPs get their b",0,1,"neu"
104,"Great place to work for None so far. I have yet to get started",0.45,0.875,"pos"
105,"big company, more opportunities, good benefits big company, many politicians, especially in senior management team",0.2833333333,0.4666666667,"pos"
106,"They make every attempt to accomodate your schedule, to balance work and family. In some cases performance and reward are not really co-related.",-0.1,0.2,"neu"
107,"Honeywell moved our jobs to Mexico to save a few dollars, sacrificing good people who put care into their work",0.25,0.35,"pos"
108,"Let's be honest--Honeywell simply doesn't care about it's employees. No more ability to work from home. Instead, they make us all sit in an awful open floor plan that looks like a prison yard and make",-0.3125,0.5892857143,"neg"
109,"Exciting and challenging design projects. Poor benefits relative to other technology companies and unable to retain young engineering talent.",-0.0178571429,0.525,"neu"
110,"Good workplace environment and facilities No training provided for the new employers or interns",0.4181818182,0.5272727273,"pos"
111,"Strong meritocracy, inability to make your own decisions-command and control management style. Too many corporate staff. Continually in a cost reduction mode, furloughs, merit increases, regular RIFs.",0.3066666667,0.4620512821,"pos"
112,"No one cares about employees,Lay offs frequentManagement directionlessLittle to no autonomy in jobPay is too low compared to other firmsBenefits are non-existent",-0.0625,0.3375,"neu"
113,"Well defined roles and systems Large company with many processes to follow",0.3571428571,0.4642857143,"pos"
114,"Competitive salaries and good benefits Poor salaries and good benefits",0.3333333333,0.6,"pos"
115,"The industrial design management is horrific and created a toxic work environment. ID management's style is essentially a bat about the head and neck. ID management uses verbal abuse as the primary ma",-0.2,0.6,"neu"
116,"-No advancement opportunity-Bonuses go only to the higher up managers who take credit for their direct report's work-Terrible leadership; they do not lead by example-HPD is not giving everyone an accu",0.1166666667,0.6333333333,"neu"
117,"Global company offering challenging work and collaborative environment Global collaboration makes for long hours",0.1125,0.35,"neu"
118,"FurloughsLayoffsBureaucracyScapegoat cultureReactive versus proactiveHoneywell will not pay out on big dealsDoes not value its people as assets but rather commoditiesBait and Switch on the comp plan",0,0.1,"neu"
119,"Good environment Good installation good benefits not development people stay on same positions for a long time",0.41,0.465,"pos"
120,"flexible vacation and 3 floating holidays micro managing of the employees",0,0,"neu"
121,"No healthcare options.They give you two choices with the same exact costs and coverage??? The costs are insane to the employee. They pay no part of dental, so you get to pay for all the insurance yo",-0.25,0.4583333333,"neg"
122,"Work Life Balance, schedule was great There were no cons, they are good to employees",0.75,0.675,"vpos"
123,"Generally, a toxic atmosphere reigns over the south bend plant. The recent lock out grew tensions between salaried and hourly union workers. Leadership seems to hold onto incompetent workers. Deviatio",-0.1,0.3722222222,"neu"
124,"Large growing company. Many resources. Does not value home Life work balance. Does not care about the employee only the bottom line.",0.2380952381,0.6428571429,"pos"
125,"Management thinks employees are complete idiots, trying to tell us to improve employee loyality while making a cash grab from the employees by holding all the 401K matches until next year. They even",-0.2333333333,0.4,"neg"
126,"Very few. Some smart people left but not for long No focus on people, innovation or long term. If you want to drive short term profits and want to focus only on numbers, this is your place.",-0.0208163265,0.4104081633,"neu"
127,"the people are great to work with too much out sourcing to China",0.5,0.475,"pos"
128,"Where should I start? I've been with this company for 14 years. I watched as former CEO Dave Cote completed several acquisitions, only to then watch the company spin off two divisions into new compa",0.0340909091,0.3636363636,"neu"
129,"Occasional discounts on Honeywell products Layoffs, high stress, low rewards. Disaster of a company that will implode.",0.0533333333,0.3216666667,"neu"
130,"Work life balance has been very good. Opportunities to move groups throughout the company are seemingly endless. Poor job of developing talent.",0.1283333333,0.71,"neu"
131,"They have great benefits and insurance The culture is not great",0.2,0.75,"pos"
132,"lots of opportunity for growth. had a manager that micromanaged",0,0,"neu"
133,"Insurance was terrible. Worst insurance is the city. Pay is below average. Raises didn't even keep up with insurance hikes. 401k lost an annual %5. Was taking home $200 less per check four years after",-0.5791666667,0.6166666667,"neg"
134,"Eroding benifits for employees. Antaginistic environment for employees. High attrision and no back filling leaves an overworked negative enviroment. Employees are running to leave.",-0.0466666667,0.3133333333,"neu"
135,"Good industries, Good positions etc Poor leadership, Old rules, Slow",0.16,0.48,"neu"
136,"Honeywell is running this company to the ground. Doesn't care about employees, constant layoffs, furloughs and hits to employee benefits. Any and all jobs are outsourced to countries like India, Mexic",0,0.3333333333,"neu"
137,"- Honeywell views employees as liabilities. They cut back benefits at every turn. For example, they just announced that 401K match will be given only at the end of Jan of each year (lump sum). You los",0,0.5,"neu"
138,"Good salary from long term employment Constant reduction or removal of all benefits. Unrealistic production schedules. Pessure to maintain schedules. Non value added bureaucracy.",0.0375,0.5833333333,"neu"
139,"Good engineers keep waiting to get noticed, promotions in Puerto Rico have become slow, almost halted across many teams even when they are going above and beyond their current roles for less than nati",0.1222222222,0.3444444444,"neu"
140,"This is a big company. No accountability from managers when being dishonest or using unethical practices. This company has the worst health and 410K benefits.",-0.4333333333,0.5333333333,"neg"
141,"- Furloughs.- Spin-offs.- Base level structure is practically non-existent.- While the salaries might seem nice, don't expect any other benefits, bonuses,raises or any other type of monetary/morale bo",-0.1125,0.6875,"neu"
142,"Many career options due to the large size of the company. Many great employees working there. Benefits are expensive. Transparency is lacking post acquisitions. See management comments.",0.231547619,0.5422619048,"pos"
143,"The compensation is fairly decent. Micromanaging Culture, No Work Life Balance, Terrible Management, Terrible work environment",-0.6111111111,0.8888888889,"vneg"
144,"They do not look out for employees. RIF's (Reduction in Force) are occurring frequently. New 401k Matching contribution changed. Now instead of getting the match with every paycheck you ONLY get it on",0.0681818182,0.7272727273,"neu"
145,"Terrible work life balance. Micro-managing. Horrible benefits. They will be lucky if the same planners are around in a year. Extremely short staffed even though we are considered fully staffed. Everyo",-0.3333333333,0.6516666667,"neg"
146,"Advanced technological work.Quickly increase in responsibilities under the right managersClear reviews Stagnate at position levelMoving most work offshoreHigh level of workforce close to retirement",0.3952380952,0.5452380952,"pos"
147,"I work about 12 hours a day only Friday, Saturday and Sunday. Love my days off. Feel like the hours is to long in a way.",0.15,0.6666666667,"neu"
148,"Best place I have ever worked Worked there throw a temp. Agency",1,0.3,"vpos"
149,"Work/life balance can be poor sometimes. Pay can become low for senior employees, there?s is not a lot work flexibility you will expect when are an exempt employee.",-0.2,0.45,"neg"
150,"Great people, innovative tech, amazing experiences Work life balance and policies",0.6333333333,0.8833333333,"vpos"
151,"good perks & good package location not so good, far from CBD",0.55,0.7,"pos"
152,"Great place to move up in your profesional carrier, good and smart people to work around Travel restrictions , hire freeze, furlogh and down sized",0.3896825397,0.5704365079,"pos"
153,"Management, Waldren specifically, have no interest in the employees. They outsource everything to the lowest bidder which ends up delivering bad products. Little to no raises. Furloughs even though th",-0.44375,0.5833333333,"neg"
154,"Employees growth, cuvation and recognition Unfair-Supervisors hiring their friends and family.",0,0,"neu"
155,"Demeaning work environment. There is a constant effort to remove any benefit - no matter how small - from employees and offshore everything.",-0.125,0.3666666667,"neu"
156,"Great team to work with Large corporation process and procedures",0.5071428571,0.5892857143,"pos"
157,"Good people, great corporate environment Costly health insurance that is difficult to afford",0.25,0.5875,"pos"
158,"Management is reasonable, flexible with time. Pay is good. Hours are good. Benefits are not great. Deadlines are sometimes aggressive. Generally a reactive environment rather than proactive.",0.25,0.61,"pos"
159,"Diverse portfolioGreat LeadershipWell managedStock is strong Poor benefitsSlow in innovationOld workplaces",0.0166666667,0.6666666667,"neu"
160,"Honeywell is still growing out of old corporate culture. There are times when you're working on something that should seemingly be easy, but you're hit with a roadblock that may take longer than you",0.1777777778,0.3444444444,"neu"
161,"Management is slow and seems to undervalue it's employees. I've seen a lot of engineers leave in my time, and I've heard of many not being properly evaluated. Pay needs to be on par with aerospace ind",0.0666666667,0.3333333333,"neu"
162,"good pay, unlimited vacation, and gym on site expensive benefits, old facilities, and no promoting in place",0.1,0.5,"neu"
163,"Very high expectations to perform at standard. Lack of remote working is not keeping up with the trends of a ?software? company. Change is constant. If you aren?t flexible this isn?t the place for you",0.027,0.3088333333,"neu"
164,"Decent health care benefit coverage Company is making there employees feel more like a number",0.3333333333,0.5833333333,"pos"
165,"Management seems to advocate bullying by superiors.Benefits are substandard - healthcare is really expensive and basically only convers major medical.Management does not allow remote working so ther",-0.134375,0.6,"neu"
166,"Management plays favorites. Constantly going through riffs and layoffs. Even when we have a great year there will be layoffs. It's just management trying to meet their bottom line. Cost of living rais",0.4,0.5416666667,"pos"
167,"great exposure to the Aerospace industry, plenty of room to grow. Myself and plenty of other people I know are overworked.",0.3375,0.5625,"pos"
168,"Name recognition and diverse product portfolio Industrial division is run very badly",-0.91,0.8666666667,"vneg"
169,"Health insurance is expensive, currently I don't think the company covers any percentage on the premium for its employees. If Honeywell covered 100% of health insurance premium, it would make employee",-0.25,0.55,"neg"
170,"benefits seem to be getting worse and worse, inconsistent expectations department-to-department in terms of required busywork, no gym on site, book stores are in limited locations, so some discounts a",-0.2904761905,0.4476190476,"neg"
171,"Great work atmosphere and learning environment. Not enough exposure to other sectors of the company",0.225,0.5416666667,"pos"
172,"Continue to furlough employee's regularly along with downsizing. Our revenue is increasing but we are not making unrealistic projections. This makes the company take short sighted approach to operatio",-0.1666666667,0.458974359,"neu"
173,"Although the pay is very good, so is the work pressure. Also, since this is the new facility, this place has not been organized well. Some of the mid-senior folks get paid almost same as the entry lev",0.3487878788,0.4531818182,"pos"
174,"Lots of room to grow and develop in current or expanding roles Employees often are forced to do more with less. Key positions are often not backfilled or are converted to multi-site roles",0.0066666667,0.4333333333,"neu"
175,"Pay, people, close to home management, vacation policy, working environment",0,0,"neu"
176,"Sometimes too large of a company is hard to stand out. Need to continue to network and work on projects outside your own area.",0.1306547619,0.5050595238,"neu"
177,"Great Place to work Work load is a bit too much",0.5,0.475,"pos"
178,"An organization that has gone from being great leadership to negative leadership to abusive leadership.",0.25,0.575,"pos"
179,"Large company, opportunities to grow Large company, can be political",0.1428571429,0.319047619,"neu"
180,"I've only been there a couple months. People are great. Company seems to empower it's employees. The healthcare benefits could be better.",0.4333333333,0.75,"pos"
181,"Provide appropriate work / life balance. Need to improve methods for securing future business opportunities.",0.25,0.3125,"pos"
182,"I haven?t experienced any issues.",0.8,0.9,"vpos"
183,"Great people, fairly decent benefits although they are beginning to draw back Management non-cooperative with front line people",0.3222222222,0.4722222222,"pos"
184,"Pay was a little better than average. Promised benefits disappear like magic.",0.165625,0.6,"neu"
185,"The current aerospace climate has created a lot of unsteady work for the employees. There have been a few furloughs followed by lay offs and restructuring . This leaves the weight of work on good peop",0.1666666667,0.3666666667,"neu"
186,"Direct manager a micro-manager (at times) then completely hands-off (other situations). Manager and director in my work team took no responsibility for projects going sideways and set unrealistic targ",-0.10625,0.54375,"neu"
187,"Executive Leaders manage by fear and intimidation. No work-life balance, can't work from home and expected to work 24/7. Routinely micro-managed with no empowerment to make decisions and nearly all de",0,0.4,"neu"
188,"Health benefits are horrible, don?t plan on having a child on this policy. Little to no bonus depending on your position. Yearly raises are barely keeping up with cost of living increases. Very high e",-0.232375,0.5755,"neg"
189,"I learned some good process while I was there. I think the pay was averagely good. Does not treat people great.",0.7333333333,0.65,"vpos"
190,"Job security is good. You get to work with excellent scientists & engineers. Not much career development opportunity.",0.5333333333,0.6,"pos"
191,"Middle management wasn't the greatest after long standing managers left the company. After I was let go, employees were told not to contact me. Did not offer to relocate me when I switched contracts t",0.2375,0.35,"pos"
192,"good pay , nice people swing shift , hard for new people",0.2861742424,0.6490530303,"pos"
193,"Great coworkers - Program teams try to work together Too much focus on metrics and driving the gain for shareholders",0.5,0.475,"pos"
194,"Wages were good, benefits were alright, management was hit or miss. HR was a revolving door, same with upper management. Very Us VS them mentality.",0.225,0.25625,"pos"
195,"not allow work remotely. work outsource to other countries. keep cuting benefits. fear of layoff all the time.",-0.1125,0.2875,"neu"
196,"good work-lift balance and good benefit nothing too bad to share",0.2333333333,0.6222222222,"pos"
197,"Gov clearance waiting period is slow going, limits what you can do.Tons of computer based trainings.Managers don?t know what some of there employees do.",-0.3,0.4,"neg"
198,"Everyone is overworked and not getting paid for overtime, management kept telling the team the project has no money but requires us to work extra hours. The unlimited vacation is a joke, you get cruci",0,0.1,"neu"
199,"Many leadership roles require long days and weekend work.",0.225,0.45,"pos"
200,"Great techs to work with. Management never worked in the field.",0.8,0.75,"vpos"
201,"Great benefits and great bosses Requires a lot of training",0.8,0.75,"vpos"
202,"Great company with possibility for growth Non flexible work hours. Benefits package was lacking",0.8,0.75,"vpos"
203,"Pay is on the lower end of competitive. New management came in with little understanding of the technical side, and didn't listen to employee's input. Only focus was 5S lean programs.",-0.0127840909,0.5136363636,"neu"
204,"Impersonal treatment from upper management. CEO has expressly stated that work/life issues are not a priority. Expensive insurance. Upper management has problems prioritizing and controlling large pro",-0.0714285714,0.2821428571,"neu"
205,"Can be bureaucratic, wants to become a lead in software industrial but does not invest in strategic branding.",0.2,0.1,"pos"
206,"Office Politics, eat or be eaten attitude, not respectful of work/life balance , lack of local executives in country they all come from the US",-0.125,0.35,"neu"
207,"There have been a lot of leadership changes over the past few years which means a lot of strategy and organizational changes for employees to adjust to.",-0.225,0.175,"neg"
208,"International aerospace company with a lot of growth potential, good pay, decent benefits, good people and important products Same problems that other large, supplier dependent companies have",0.2284391534,0.5328042328,"pos"
209,"HOS, Six Sigma Lean training. Decent work conditions. High 1st year revenue hurdle for new products.",0.1543434343,0.5537373737,"neu"
210,"Well defined process and better pay I was always a happy employee in Honeywell",0.65,0.75,"vpos"
211,"it's need you had ability to manager yourself always feel waste time to work in it.",-0.2,0,"neg"
212,"Wages are stagnant. Benefits are continually eroding, and local HR has zero pull to make any changes.Engineering organization is split into multiple silos, with competing metrics. Result is fragmented",0,0,"neu"
213,"Great co-workers and pay is good for Rhode Island Their philosophy has changed. They no longer view employees as assets, we are now an expense that needs to be reduced.",0.75,0.675,"vpos"
214,"Good environment, supportive Manager, friendly colleagues and enjoyable work Benefit is not good. Lack of internal promotion",0.2875,0.55,"pos"
215,"I will add feedback here if I find a con but, for now, it's been a fantastic experience in every way.",0.4,0.9,"pos"
216,"Unlimited Vacation, Advancement Opportunities, Co-Workers,Life Insurance Lack of telecommutingBusiness decisions don't always consider the impact",0,0,"neu"
217,"Pay is low. Super long hours. Expect to work weekends. Cash is king. Folks r very stagnant and very set. No need to improve what they're doing. Very little automation.",0.0732638889,0.4361111111,"neu"
218,"close to home and convenient for me low moral, work ethics questionable",-0.1666666667,0.5166666667,"neu"
219,"Ongoing benefits erosion, arguably, or not, consistent with the rest of the industry.",-0.125,0.25,"neu"
220,"Honeywell is constantly downsizing, so workload was always increasing without compensating for extra time. The stress of the constant rounds of furloughs and layoffs was demotivating, coupled with Hon",0,0.2555555556,"neu"
221,"Its a job and pays the bills. Last year 2016 we had 3 Furloungs. Some managers are just not right for the position. HR repesentative for ISC is not the appropiate person for the job",-0.0714285714,0.3011904762,"neu"
222,"Good place to work and good management. Can't think of any at this time.",0.7,0.6,"vpos"
223,"Micromanagement, so risk adverse there are 10 levels of approval then they wonder why you can't hit deadlines. Over the past 2-3 years SPS has endured RIF's, hiring freezes, furloughs, no merits - kee",-0.25,0.25,"neg"
